EMPID,HIREDATE,SALARY,DEPT,JOBCODE,SEX,BIRTHDATE,LASTNAME,FIRSTNAME,MIDDLENAME,PHONE
119012,01-Jul-73,42340.58,CSR010,602,F,05-Jan-51,WOLF-PROVENZA,G.,ANDREA,3467
120591,05-Dec-85,31000.55,SHP002,602,F,12-Feb-51,HAMMERSTEIN,S.,RACHAEL,3287
127845,16-Jan-72,75320.34,ACC024,204,M,25-Dec-48,MEDER,VLADIMIR,JORAN,6231
129540,01-Aug-87,56123.34,SHP002,204,F,31-Jul-65,CHOULAI,CLARA,JANE,3921
135673,15-Jul-89,46322.58,ACC013,602,F,21-Mar-66,HEMESLY,STEPHANIE,J.,6329
212916,15-Feb-58,52345.58,CSR010,602,F,29-May-35,WACHBERGER,MARIE-LOUISE,TERESA,8562
216382,15-Jun-90,34004.65,SHP013,602,F,24-Jul-68,PURINTON,PRUDENCE,VALENTINE,3852
234967,19-Dec-93,17000,CSR004,602,M,21-Dec-72,SMITH,GILBERT,IRVINE,7274
237642,01-Nov-81,43200.34,SHP013,602,M,13-Mar-59,BATTERSBY,R.,STEPHEN,8342
239185,07-May-86,57920.66,ACC024,602,M,28-Aug-64,DOS REMEDIOS,LEONARD,WESLEY,4892
254896,04-Apr-90,35000.74,CSR011,204,M,06-Apr-54,TAYLOR-HUNYADI,ITO,MISHIMA,1231
321783,10-Sep-72,48931.58,CSR011,602,M,03-Jun-39,GONZALES,GUILLERMO,RICARDO,3642
328140,10-Jan-80,75000.34,ACC043,1204,F,02-Jun-56,MEDINA-SIDONIA,MARGARET,ROSE,5901
346917,02-Mar-92,46000.33,SHP013,204,F,15-Mar-55,SHIEKELESLAM,SHALA,Y.,8745
356134,14-Jun-90,62450.75,ACC013,204,F,25-Oct-65,DUNNETT,CHRISTINE,MARIE,4213
423286,19-Dec-93,32870.66,ACC024,602,M,31-Oct-69,MIFUNE,YUKIO,TOSHIRO,3278
456910,14-Jun-83,45000.58,CSR010,602,M,24-Sep-58,ARDIS,RICHARD,BINGHAM,4351
456921,19-Aug-92,33210.04,SHP002,602,M,12-May-67,KRAUSE,KARL-HEINZ,G.,7452
457232,15-Jul-90,55000.66,ACC013,602,M,15-Oct-68,LOVELL,WILLIAM,SINCLAIR,6321
459287,02-Nov-69,50000,SHP024,204,M,05-Jan-39,RODRIGUES,JUAN,M.,5879
677890,12-Dec-93,37610,CSR010,204,F,24-Apr-70,NISHIMATSU-LYNCH,CAROL,ANNE,6245
123456,04-Apr-94,------,ACC043,1204,----,--------,VARGAS,CHRIS,J.,----
